Fund Custody Code / SARA code;CashFlow Type Id;CashFlow Type Description;Account Currency(ISO);Confirmed Amount Local ccy;Confirmed Amount Fund ccy;Projected Amount Local ccy;Projected Amount Fund ccy;Trade Date;Creation Date;Settlement Date;ReportDate;MF code;Fund Manager Identifier;Fund Administration Code;Fund name;External Fund Reference
166;TA;SHS Net Inflow/Outflow;EUR;-44910.6;-44910.6;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB5555;Z8719429;LCA;SOCIALLY RESPONSIBLE COLLECTION L A EUR;DB5555Z8719429
167;TA;SHS Net Inflow/Outflow;EUR;9363.17;9363.17;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB5555;Z8719429;SCA;SOCIALLY RESPONSIBLE COLLECTION S A EUR;DB5555Z8719429
168;TA;SHS Net Inflow/Outflow;EUR;589.3;589.3;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB5555;Z8719429;LHC;SOCIALLY RESPONSIBLE COLLECTION L HEDGED A EUR;DB5555Z8719429
169;TA;SHS Net Inflow/Outflow;EUR;5619.3;5619.3;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB5555;Z8719429;SHC;SOCIALLY RESPONSIBLE COLLECTION S HEDGED A EUR;DB5555Z8719429
16S;TA;SHS Net Inflow/Outflow;EUR;130825.13;130825.13;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB8815;Z8719429;SCA;CHALLENGE ITALIAN EQUITY S FUND A RETAIL CLASS;DB8815Z8997924
178;TA;SHS Net Inflow/Outflow;EUR;8600.98;8600.98;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB6214;Z8719429;LCA;FINANCIAL INCOME STRATEGY L A EURO;DB6214Z8719429
179;TA;SHS Net Inflow/Outflow;EUR;64483.92;64483.92;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB6214;Z8719429;LDI;FINANCIAL INCOME STRATEGY L B EURO;DB6214Z8719429
183;TA;SHS Net Inflow/Outflow;EUR;10279.74;10279.74;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB6214;Z8719429;SCA; FINANCIAL INCOME STRATEGY S A EURO;DB6214Z8719429
184;TA;SHS Net Inflow/Outflow;EUR;77605.07;77605.07;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB6214;Z8719429;SDI;FINANCIAL INCOME STRATEGY S B EURO;DB6214Z8719429
187;TA;SHS Net Inflow/Outflow;EUR;-18724.73;-18724.73;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB6215;Z8719429;LCA;EQUILIBRIUM L A EURO;DB6215Z8719429
188;TA;SHS Net Inflow/Outflow;EUR;-17559.17;-17559.17;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB6215;Z8719429;LDI;EQUILIBRIUM L B EURO;DB6215Z8719429
189;TA;SHS Net Inflow/Outflow;EUR;7464.16;7464.16;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB6215;Z8719429;LHC;EQUILIBRIUM L HEDGED A EURO;DB6215Z8719429
18S;TA;SHS Net Inflow/Outflow;EUR;3250.33;3250.33;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB8816;Z8719429;SCA;CHALLENGE EMERGING MARKETS EQUITY S FUND A RETAIL CLASS;DB8816Z8719429
