Fund Custody Code / SARA code;CashFlow Type Id;CashFlow Type Description;Account Currency(ISO);Confirmed Amount Local ccy;Confirmed Amount Fund ccy;Projected Amount Local ccy;Projected Amount Fund ccy;Trade Date;Creation Date;Settlement Date;ReportDate;MF code;Fund Manager Identifier;Fund Administration Code;Fund name;External Fund Reference
146;TA;SHS Net Inflow/Outflow;EUR;0;0;3513.01;3513.01;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB2015;Z8719429;LHC;INFRASTRUCTURE OPPORTUNITY COLLECT L HDGD (A) EUR;DB2015Z8719429
147;TA;SHS Net Inflow/Outflow;EUR;0;0;-39950.29;-39950.29;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB2015;Z8719429;LHD;INFRASTRUCTURE OPPORTUNITY COLLECT L HDGD (B) EUR;DB2015Z8719429
148;TA;SHS Net Inflow/Outflow;EUR;0;0;-59726.89;-59726.89;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB2015;Z8719429;SCA;INFRASTRUCTURE OPPORTUNITY COLLECT S (A) EUR;DB2015Z8719429
149;TA;SHS Net Inflow/Outflow;EUR;0;0;-4379.64;-4379.64;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB2015;Z8719429;SDI;INFRASTRUCTURE OPPORTUNITY COLLECT S(B)EUR;DB2015Z8719429
14S;TA;SHS Net Inflow/Outflow;EUR;0;0;-7487.56;-7487.56;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB8814;Z8719429;SCA;CHALLENGE PACIFIC EQUITY S FUND A RETAIL CLASS;DB8814Z8719429
150;TA;SHS Net Inflow/Outflow;EUR;0;0;18291.55;18291.55;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB2015;Z8719429;SHC;INFRASTRUCTURE OPPORTUNITY COLLECT S HDGD (A) EUR;DB2015Z8719429
151;TA;SHS Net Inflow/Outflow;EUR;0;0;17716.15;17716.15;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB2015;Z8719429;SHD;INFRASTRUCTURE OPPORTUNITY COLLECT S HDGD (B) EUR;DB2015Z8719429
152;TA;SHS Net Inflow/Outflow;EUR;0;0;828.37;828.37;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB2016;Z8719429;LCA;CONVERTIBLE STRATEGY COLLECTION L (A) EUR;DB2016Z8719429
153;TA;SHS Net Inflow/Outflow;EUR;0;0;11121.49;11121.49;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB2016;Z8719429;LDI;CONVERTIBLE STRATEGY COLLECTION L (B) EUR;DB2016Z8719429
154;TA;SHS Net Inflow/Outflow;EUR;0;0;1177.05;1177.05;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB2016;Z8719429;LHC;CONVERTIBLE STRATEGY COLLECTION  L HDGD (A) EUR;DB2016Z8719429
155;TA;SHS Net Inflow/Outflow;EUR;0;0;-17369.99;-17369.99;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB2016;Z8719429;LHD;CONVERTIBLE STRATEGY COLLECTION L HDGD (B) EUR;DB2016Z8719429
156;TA;SHS Net Inflow/Outflow;EUR;0;0;-22415.62;-22415.62;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB2016;Z8719429;SCA;CONVERTIBLE STRATEGY COLLECTION S (A) EUR;DB2016Z8719429
157;TA;SHS Net Inflow/Outflow;EUR;0;0;55921.89;55921.89;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB2016;Z8719429;SDI;CONVERTIBLE STRATEGY COLLECTION S (B) EUR;DB2016Z8719429
158;TA;SHS Net Inflow/Outflow;EUR;0;0;50333.91;50333.91;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB2016;Z8719429;SHC;CONVERTIBLE STRATEGY COLLECTION S HDGD (A) EUR;DB2016Z8719429
159;TA;SHS Net Inflow/Outflow;EUR;0;0;85335.4;85335.4;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB2016;Z8719429;SHD;CONVERTIBLE STRATEGY COLLECTION S HDGD (B) EUR;DB2016Z8719429
160;TA;SHS Net Inflow/Outflow;EUR;0;0;-126097.01;-126097.01;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB2017;Z8719429;LCA;MEDIOLANUM CARMIGNAC STRATEGIC SELECTION L (A) EUR;DB2017Z8719429
161;TA;SHS Net Inflow/Outflow;EUR;0;0;-371573.31;-371573.31;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB2017;Z8719429;SCA;MEDIOLANUM CARMIGNAC STRATEGIC SELECTION S (A) EUR;DB2017Z8719429
162;TA;SHS Net Inflow/Outflow;EUR;0;0;-63125.85;-63125.85;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB2018;Z8719429;LCA;MEDIOLANUM INVESCO BALANCED RISK CPN SELCT L (A) EUR;DB2017Z8719429
163;TA;SHS Net Inflow/Outflow;EUR;0;0;69251.24;69251.24;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB2018;Z8719429;LDI;MEDIOLANUM INVESCO BALANCED RISK CPN SELCT L (B) EUR;DB2017Z8719429
164;TA;SHS Net Inflow/Outflow;EUR;0;0;44852.37;44852.37;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB2018;Z8719429;SCA;MEDIOLANUM INVESCO BALANCED RISK CPN SELCT S (A) EUR;DB2017Z8719429
165;TA;SHS Net Inflow/Outflow;EUR;0;0;-300197.15;-300197.15;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB2018;Z8719429;SDI;MEDIOLANUM INVESCO BALANCED RISK CPN SELCT S (B) EUR;DB2017Z8719429
166;TA;SHS Net Inflow/Outflow;EUR;0;0;-44329.53;-44329.53;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB5555;Z8719429;LCA;SOCIALLY RESPONSIBLE COLLECTION L A EUR;DB5555Z8719429
167;TA;SHS Net Inflow/Outflow;EUR;0;0;9505.72;9505.72;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB5555;Z8719429;SCA;SOCIALLY RESPONSIBLE COLLECTION S A EUR;DB5555Z8719429
168;TA;SHS Net Inflow/Outflow;EUR;0;0;598.95;598.95;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB5555;Z8719429;LHC;SOCIALLY RESPONSIBLE COLLECTION L HEDGED A EUR;DB5555Z8719429
169;TA;SHS Net Inflow/Outflow;EUR;0;0;5700;5700;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB5555;Z8719429;SHC;SOCIALLY RESPONSIBLE COLLECTION S HEDGED A EUR;DB5555Z8719429
