C Id Isin;Consolidated;Fund Code;Fund name;Date Nav;Code Share;Outstanding;Nav Net;Quantity Outstanding;Price Share;NAV PREC;AGE_VAR_NAV PERC;P SHARE IN ITL;C Ccy;H Valid;ZWIST J;A Actual Zwist;C N Id;Income Equalization (code 1 or 2 or 3)
IE00B3BF0S24;DB3012;DB4210;DYNAMIC COLLECTION;20-SEP-2021;LHC;57171741.61;273746118.96;6654821.691;8.591;8.602;-0.;;EUR;0920142206;;;578990000000;1
IE0030608966;DB3012;DB4210;DYNAMIC COLLECTION;20-SEP-2021;SCA;114603340.10;273746118.96;7666835.512;14.948;14.953;-0.;;EUR;0920142206;;;65629000000;1
IE00B3BF0T31;DB3012;DB4210;DYNAMIC COLLECTION;20-SEP-2021;SHC;24403702.50;273746118.96;1485837.679;16.424;16.445;-0.;;EUR;0920142206;;;578991000000;1
IE0032080503;DB3012;DB4211;EQUITY POWER COUPON COLLECTION;20-SEP-2021;LCA;119321784.72;705438570.68;14301804.738;8.343;8.359;-0.;;EUR;0920160739;;;97830000000;1
IE00B9G50M30;DB3012;DB4211;EQUITY POWER COUPON COLLECTION;20-SEP-2021;LDI;106109919.42;705438570.68;18676336.005;5.682;5.692;-0.;;EUR;0920160739;;;456726000000;1
IE00B04KP775;DB3012;DB4211;EQUITY POWER COUPON COLLECTION;20-SEP-2021;LHC;66904036.21;705438570.68;9249587.791;7.233;7.252;-0.;;EUR;0920160739;;;152184000000;1
IE00B7M9HB33;DB3012;DB4211;EQUITY POWER COUPON COLLECTION;20-SEP-2021;LHD;91552858.68;705438570.68;17529902.779;5.223;5.236;-0.;;EUR;0920160739;;;456727000000;1
IE0030609048;DB3012;DB4211;EQUITY POWER COUPON COLLECTION;20-SEP-2021;SCA;71675462.11;705438570.68;5637325.398;12.714;12.739;-0.;;EUR;0920160739;;;65630000000;1
IE00B9G61455;DB3012;DB4211;EQUITY POWER COUPON COLLECTION;20-SEP-2021;SDI;104527304.12;705438570.68;9521700.789;10.978;10.999;-0.;;EUR;0920160739;;;456728000000;1
IE00B02YQJ08;DB3012;DB4211;EQUITY POWER COUPON COLLECTION;20-SEP-2021;SHC;37508994.31;705438570.68;2768026.486;13.551;13.586;-0.;;EUR;0920160739;;;152183000000;1
IE00B9G58527;DB3012;DB4211;EQUITY POWER COUPON COLLECTION;20-SEP-2021;SHD;107838211.11;705438570.68;10706884.626;10.072;10.098;-0.;;EUR;0920160739;;;456729000000;1
IE0004878967;DB8810;DB8813;CHALLENGE EUROPEAN EQUITY;20-SEP-2021;LCA;745749193.04;835639846.92;121771171.782;6.124;6.156;-0.01;;EUR;0920153845;;;73699000000;1
IE00B604T843;DB8810;DB8813;CHALLENGE EUROPEAN EQUITY;20-SEP-2021;LHC;46578359.37;835639846.92;5406823.025;8.615;8.657;-0.;;EUR;0920153845;;;618476000000;1
