Fund Custody Code;External Fund Identifier;PTG Name;Trade Date;Settlement Date;Maturity Date;Transaction ID;Fund Manager Reference;Transaction Type;Transaction Description;Reversal Flag;Security Name;Collateral Counterparty Name;ISIN Code;Security Description;Quantity;Currency;Price;Gross Amount;Interest;Brokerage;Tax;Expenses;Net Amount;Buy Currency;Purchase Amount;Sell Currency;Sold Amount;FX Rate;Deposit Amount;Deposit Rate;No. of Days;Collateral Counterparty BIC Code;Fund Manager BIC Code;Bloomberg Code
20225;19053Z5908260COLIN;CHALLENGE NORTH AMER EQY COLLAT-MSI;15/05/2017;15/05/2017;;020225EE00005000;SWBC 4420077-3339406;EE;CASH DIRECT ENTRY;N;;MORGAN STANLEY AND CO. INTL PLC;;;0;EUR;0;0;0;0;0;0;110000;;0;;0;0;0;0;0;MSLNGB2X;;
11156;10594Z8719429COLOUT;CHALLEN SOLIDITY & RETURN FUND MAML;12/05/2017;15/05/2017;;011156TP00355000;SWCC 4418389-3337818;TP;CASH TRANSFER BETWEEN PORTFOLIOS;N;;BNP PARIBAS LONDON BRANCH;;;0;EUR;0;0;0;0;0;0;220000;;0;;0;0;0;0;0;BNPAGB22;;
16265;16148Z5908260COLIN;INFRAST OPP COLLECTION COLLATERAL;15/05/2017;16/05/2017;;016265EE00019000;SWBC 4420745-3340192;EE;CASH DIRECT ENTRY;N;;RBC INVESTOR SERVICES BANK S.A.;;;0;EUR;0;0;0;0;0;0;750000;;0;;0;0;0;0;0;FETALULL;;
18077;17169Z5921873COLIN;EQUILIBRIUM/18008/MSTANLEY/COL OTC;16/05/2017;16/05/2017;;018077EE00114000;SWBC GT5YIVJ2RL0F45;EE;CASH DIRECT ENTRY;N;;MORGAN STANLEY AND CO. INTL PLC;;;0;EUR;0;0;0;0;0;0;900000;;0;;0;0;0;0;0;MSLNGB2X;;
18077;17169Z5921873COLIN;EQUILIBRIUM/18008/MSTANLEY/COL OTC;15/05/2017;15/05/2017;;018077EE00113000;SWBC GT5YHDJ2QFTCUT;EE;CASH DIRECT ENTRY;N;;MORGAN STANLEY AND CO. INTL PLC;;;0;EUR;0;0;0;0;0;0;950000;;0;;0;0;0;0;0;MSLNGB2X;;
15224;19052Z5908260COLIN;CHALLENGE INT BOND FD COLLATERAL;15/05/2017;16/05/2017;;015224EE00017000;SWBC 4420761-3340168;EE;CASH DIRECT ENTRY;N;;RBC INVESTOR SERVICES BANK S.A.;;;0;EUR;0;0;0;0;0;0;430000;;0;;0;0;0;0;0;FETALULL;;
19643;15156Z5908260COLIN;COUPON STRATEGY COLLECT-COLLAT-MSI;16/05/2017;16/05/2017;;019643EE00006000;SWBC 4421934-3341360;EE;CASH DIRECT ENTRY;N;;MORGAN STANLEY AND CO. INTL PLC;;;0;EUR;0;0;0;0;0;0;180000;;0;;0;0;0;0;0;MSLNGB2X;;
19641;15156Z5908260COLIN;COUPON STRATEGY COLLECT-COLLAT-JPM;16/05/2017;16/05/2017;;019641EE00005000;SWBC 4421932-3341361;EE;CASH DIRECT ENTRY;N;;JPMORGAN CHASE BANK N.A.;;;0;EUR;0;0;0;0;0;0;430000;;0;;0;0;0;0;0;CHASGB2L;;
19588;15162Z5908260COLIN;EQUITY POWER CPN COLLECT -COLL-MLI;16/05/2017;16/05/2017;;019588SE00005000;SWBC 4420056-3339411;SE;CASH WITHDRAWAL;N;;MERRILL LYNCH INTERNATIONAL;;;0;EUR;0;0;0;0;0;0;-260000;;0;;0;0;0;0;0;MLILGB3L;;
15214;15165Z5908260COLIN;EUROPEAN COLLECTION COLLATERAL;15/05/2017;16/05/2017;;015214EE00012000;SWBC 4420740-3340194;EE;CASH DIRECT ENTRY;N;;RBC INVESTOR SERVICES BANK S.A.;;;0;EUR;0;0;0;0;0;0;340000;;0;;0;0;0;0;0;FETALULL;;
